Zip Code,City,State,X Coordinate,Y Coordinate,Date1 of Occurrence,TYPE
75211,DALLAS,TX,2463017.564,6959380.819,11/20/16 0:00,A
75211,DALLAS,TX,2456852.474,6959267.606,1/16/16 0:00,A
75229,DALLAS,TX,2464150.182,7007380.739,11/29/15 0:00,C
75229,DALLAS,TX,2473157.409,7009895.175,11/28/15 0:00,A
75243,DALLAS,TX,2506562.141,7018203.975,11/21/16 0:00,A
75215,DALLAS,TX,2502855.824,6965061.359,11/21/16 0:00,B
75220,DALLAS,TX,2466569.415,6996854.77,11/21/16 0:00,B
75206,DALLAS,TX,2499820.099,6992842.028,11/30/15 0:00,B
75241,DALLAS,TX,2496575.268,6931934.441,11/30/15 0:00,A
75217,DALLAS,TX,2527237.23,6958463.617,11/21/16 0:00,A
75208,DALLAS,TX,2481775.402,6959614.549,7/27/17 0:00,A
75208,DALLAS,TX,2481775.402,6959614.549,7/27/17 0:00,B
75220,DALLAS,TX,2460500.253,7001459.478,9/24/17 0:00,A
75232,DALLAS,TX,2474255.336,6921526.75,11/30/15 0:00,B
75231,DALLAS,TX,2499660.427,7003059.427,11/23/16 0:00,B
75240,DALLAS,TX,2499656.055,7023803.334,11/22/16 0:00,B
75227,DALLAS,TX,2521821.08,6960213.481,12/2/15 0:00,A
75212,DALLAS,TX,2467212.884,6970041.785,12/2/15 0:00,A
75204,DALLAS,TX,2493976.37,6980148.15,11/21/16 0:00,A
75227,DALLAS,TX,2537217.48,6965185.53,11/22/16 0:00,B
75216,DALLAS,TX,2500165.199,6940007.488,11/22/16 0:00,A
75216,DALLAS,TX,2496911.883,6938020.419,11/23/16 0:00,B
75228,DALLAS,TX,2525703.174,6975960.542,11/23/16 0:00,A
75228,DALLAS,TX,2521115.936,6983034.011,1/17/15 0:00,C
75220,DALLAS,TX,2464285.179,7000137.569,11/23/16 0:00,A
75228,DALLAS,TX,2532165.811,6994452.369,11/22/16 0:00,C
75217,DALLAS,TX,2534081.846,6954881.514,11/24/16 0:00,C
75228,DALLAS,TX,2531686.547,6983664.845,11/25/16 0:00,A
75212,DALLAS,TX,2459817.352,6971454.996,12/3/15 0:00,C
75220,DALLAS,TX,2470535.957,7000926.839,11/25/16 0:00,A
75228,DALLAS,TX,2531617.436,6986626.106,12/3/15 0:00,C
75228,DALLAS,TX,2531686.547,6983664.845,11/25/16 0:00,A
75202,DALLAS,TX,2489807.043,6972793.145,1/1/15 0:00,C
